Condition,MedCodeId,Term
Disorders of thryoid gland,881391000006112,Acquired hypothyroidism NOS
Disorders of thryoid gland,5108351000006116,Autoimmune hypothyroidism
Disorders of thryoid gland,940101000006114,Hypothyroidism monitoring invite 1
Disorders of thryoid gland,940111000006112,Hypothyroidism monitoring invite 2
Disorders of thryoid gland,940121000006116,Hypothyroidism monitoring invite 3
Disorders of thryoid gland,881381000006114,Hypothyroidism-congen.+ acqui.
Disorders of thryoid gland,1539151000006110,Secondary hypothyroidism
Disorders of thryoid gland,3843671000006116,Secondary hypothyroidism
Disorders of thryoid gland,881371000006111,Thyrotoxicosis +/- goitre
Disorders of thryoid gland,905741000006112,[RFC] Hyperthyroidism
Disorders of thryoid gland,12727341000006116,hypothyroidism nos
Disorders of thryoid gland,12729831000006112,other acquired hypothyroidism
Disorders of thryoid gland,2933341000006117,postsurgical hypothyroidism
Disorders of thryoid gland,2548990010,Hyperthyroidism resolved
Disorders of thryoid gland,264730019,Thyroid disease monitoring
Disorders of thryoid gland,412221013,Thyroid eye disease
Disorders of thryoid gland,264748011,Thyroid disease monitoring NOS
Disorders of thryoid gland,2533422017,Hypothyroidism monitoring first letter
Disorders of thryoid gland,2533534011,Hypothyroidism monitoring second letter
Disorders of thryoid gland,2533420013,Hypothyroidism monitoring third letter
Disorders of thryoid gland,2548835019,Hypothyroidism monitoring verbal invite
Disorders of thryoid gland,150375010,Thyrotoxicosis
Disorders of thryoid gland,57561015,Hyperthyroidism
Disorders of thryoid gland,355932011,Toxic goitre
Disorders of thryoid gland,398780011,Toxic diffuse goitre
Disorders of thryoid gland,490987015,Basedow's disease
Disorders of thryoid gland,472452010,Graves' disease
Disorders of thryoid gland,356406019,Thyroid-associated dermopathy
Disorders of thryoid gland,292331012,Toxic diffuse goitre NOS
Disorders of thryoid gland,200396013,Toxic uninodular goitre
Disorders of thryoid gland,292338018,Toxic uninodular goitre NOS
Disorders of thryoid gland,196525014,Toxic multinodular goitre
Disorders of thryoid gland,292343013,Toxic multinodular goitre NOS
Disorders of thryoid gland,292346017,Toxic nodular goitre unspecified
Disorders of thryoid gland,292354015,Toxic nodular goitre NOS
Disorders of thryoid gland,398782015,Thyrotoxicosis of other specified origin
Disorders of thryoid gland,292365013,Thyrotoxicosis of other specified origin NOS
Disorders of thryoid gland,292366014,Thyrotoxicosis without mention of goitre or other cause
Disorders of thryoid gland,292372014,Thyrotoxicosis NOS
Disorders of thryoid gland,178809013,Acquired hypothyroidism
Disorders of thryoid gland,493538010,Myxoedema
Disorders of thryoid gland,101171000006116,Thyroid deficiency
Disorders of thryoid gland,68268011,Hypothyroidism
Disorders of thryoid gland,2536050019,Postsurgical hypothyroidism
Disorders of thryoid gland,216181000006112,Post ablative hypothyroidism
Disorders of thryoid gland,292394018,Other postablative hypothyroidism
Disorders of thryoid gland,292395017,Irradiation hypothyroidism
Disorders of thryoid gland,292396016,Postablative hypothyroidism NOS
Disorders of thryoid gland,292400016,Other iatrogenic hypothyroidism
Disorders of thryoid gland,292404013,Iatrogenic hypothyroidism NOS
Disorders of thryoid gland,355964016,Autoimmune myxoedema
Disorders of thryoid gland,292408011,Other acquired hypothyroidism
Disorders of thryoid gland,398784019,Hypothyroidism NOS
Disorders of thryoid gland,208391000006113,Pretibial myxoedema - hypothyroid
Disorders of thryoid gland,101581000006112,Thyroid insufficiency
Disorders of thryoid gland,355961012,"Hypothyroid goitre, acquired"
Disorders of thryoid gland,292417011,Premature puberty due to hypothyroidism
Disorders of thryoid gland,35727012,Myxoedema coma
Disorders of thryoid gland,136211012,Thyroiditis
Disorders of thryoid gland,481187014,Chronic lymphocytic thyroiditis
Disorders of thryoid gland,481188016,Autoimmune thyroiditis
Disorders of thryoid gland,36888019,Hashimoto's disease
Disorders of thryoid gland,554221000006113,Chronic fibrous thyroiditis
Disorders of thryoid gland,292435019,Other and unspecified chronic thyroiditis
Disorders of thryoid gland,355987012,Chronic thyroiditis with transient thyrotoxicosis
Disorders of thryoid gland,292437010,Thyroiditis NOS
Disorders of thryoid gland,292448015,Thyroid atrophy
Disorders of thryoid gland,88781000006119,TSH - thyroid-stimulating hormone deficiency
Disorders of thryoid gland,413721000006119,[X]Other sp cified hypothyroidism
Disorders of thryoid gland,293750016,[X]Other thyrotoxicosis
Disorders of thryoid gland,293751017,[X]Other chronic thyroiditis
Disorders of thryoid gland,542671000006117,Cerebral degeneration due to myxoedema
Disorders of thryoid gland,297588017,Myasthenic syndrome due to hypothyroidism
Disorders of thryoid gland,297591017,Myasthenic syndrome due to thyrotoxicosis
Disorders of thryoid gland,682701000006117,Myopathy due to myxoedema
Disorders of thryoid gland,1233040016,Myopathy due to thyrotoxicosis
Disorders of thryoid gland,33469013,Thyrotoxic exophthalmos
Disorders of thryoid gland,379441000006115,[X]Dysthyroid exophthalmos
Disorders of thryoid gland,100438013,Thyrotoxic heart disease
